GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10,BeJavaHispW16G10Application,5,3,0,0,2,1,1,1,1,1
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.entity,Product,167,133,39,15,1,9,36,10,9,10
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.entity,User,69,65,7,7,3,11,12,10,7,8
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.entity,Post.PostBuilder,14,49,0,0,0,1,1,8,1,8
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.entity,Product.ProductBuilder,14,49,0,0,0,1,1,8,1,8
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.entity,Post,163,137,39,15,1,9,35,11,8,11
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.entity,User.UserBuilder,10,35,0,0,0,1,1,6,1,6
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.repository,UserRepository,0,164,0,0,0,21,0,8,0,8
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.repository,PostRepository,0,59,0,2,0,15,0,8,0,7
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.exception,FoundException,7,0,0,0,4,0,2,0,2,0
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.exception,NotFoundException,3,4,0,0,1,2,1,1,1,1
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.exception,ConstraintViolationException,3,4,0,0,2,2,1,1,1,1
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.exception,UrlNotValidException,7,0,0,0,4,0,2,0,2,0
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.exception,BadRequestException,3,4,0,0,2,2,1,1,1,1
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.exception,GlobalExceptionHandler,55,43,0,0,12,5,4,3,4,3
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.service,PostService,1,151,1,11,0,30,1,15,0,10
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.service,UserService,5,274,1,23,0,53,1,20,0,9
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.util,Mapper,3,161,0,0,1,59,1,9,1,9
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.dto.response,UserPostResDTO.UserPostResDTOBuilder,27,0,0,0,1,0,5,0,5,0
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.dto.response,PostResDTO.PostResDTOBuilder,14,49,0,0,0,1,1,8,1,8
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.dto.response,FollowersCountResDTO,69,23,14,0,1,5,12,4,5,4
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.dto.response,FollowedListResDTO.FollowedListResDTOBuilder,6,9,0,0,0,1,1,2,1,2
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.dto.response,FollowersListResDTO.FollowersListResDTOBuilder,6,9,0,0,0,1,1,2,1,2
be_java_hisp_w16_g10,com.bootcamp.be_java_hisp_w16_g10.dto.response,ExceptionFieldsDTO,37,0,0,0,6,0,8,0,8,0
